strategy	status	edge	duration_s	log_file
./gate2_v1.sol	0	507.85	103	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/1_gate2_v1.log
./gate2_v2.sol	0	507.81	103	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/2_gate2_v2.log
./gate2_v3.sol	0	507.87	104	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/3_gate2_v3.log
./gate2_v4.sol	0	507.86	103	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/4_gate2_v4.log
./gate2_v5.sol	0	507.83	101	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/5_gate2_v5.log
./gate2_v6.sol	0	507.91	102	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/6_gate2_v6.log
./gate2_v7.sol	0	507.66	102	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/7_gate2_v7.log
./gate2_v8.sol	0	507.48	101	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/8_gate2_v8.log
./gate2_v9.sol	0	507.95	51	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/9_gate2_v9.log
./gate2_v10.sol	0	507.88	51	.ralph-amm/phase7/state/parallel_sims/20260211_010304_16073/10_gate2_v10.log
